mention,best_cui,best_name,mapped
8 radiodensity,C3272911,Radiodensity,True
8 t tube,C0175730,Tube,True
8 tip marker,C5445211,Marker,True
8 triple lead pacer device,C0699733,Device,True
8th rib,C0035561,Rib,True
9th,C0205443,9th,True
a,C5669961,(--/-a),True
a . m,C0227102,M,True
a cath tip,C1705504,TIP,True
a catheter,C0085590,Catheter,True
a change,C0392747,Change,True
a chest tube,C0175730,Tube,True
a hiatus hernia,C0019270,Hernia,True
a little bit smaller,C0547044,Smaller,True
a mal - positioned,C0024551,Malayalam language,True
a neo,C1366752,NEO,True
a pacemaker battery pack,C1968515,Pack,True
a port - a - cath,C0227089,Deciduous maxillary right second molar tooth,True
a ring - like structure,C0678594,Structure,True
a second lead,C0023175,Lead,True
a swan - ganz,C0325528,Genus Cygnus,True
a swan - ganz catheter,C0085590,Catheter,True
a tracheostomy tube,C0175730,Tube,True
a very small,C0442824,Very,True
aa tube,C0175730,Tube,True
abandoned,C1272694,Abandoned,True
abandoned lead,C3275042,Abandoned Lead,True
abdomen,C0230168,Abdomen,True
abdominal,C0000726,abdominal,True
abdominal aorta,C0003484,Abdominal aorta,True
abdominal aortic,C0003483,Aortic,True
abdominal catheter,C0085590,Catheter,True
abdominal contents,C0456205,Contents,True
abdominal drain,C2266645,abdominal drain,True
abdominal drains,C0441140,abdominal drains,True
abdominal organ,C0446633,abdominal organ,True
abdominal us,C0439224,us,True
abdominal wall,C0836916,Abdominal Wall,True
aberrant,C0443127,Aberrant,True
ablation,C0547070,Ablation,True
ablation artifact,C0085089,Artifact,True
abnormal,C0205161,Abnormal,True
abnormal aeration,C2215609,aeration,True
abnormal contour,C0876954,Contour,True
abnormal contours,C0876954,Contours,True
abnormal convex upward contour,C0876954,Contour,True
abnormal course,C0750729,Course,True
abnormal curvature,C0333063,Abnormal curvature,True
abnormal increase,C0442805,Increase,True
abnormal increased density,C5779786,Increased density,True
abnormal interfaces,C0205161,Abnormal,True
abnormal kinking,C0851256,Kinking,True
abnormal loop,C0445022,Loop,True
abnormal lower lungs,C0205161,Abnormal,True
abnormal opacification,C0449584,Opacification,True
abnormal opacities,C0029053,opacities,True
abnormal position,C0333042,Abnormal position,True
abnormal radiodensity,C3272911,Radiodensity,True
abnormal tissue,C0040300,Tissue,True
abnormal ventilation,C2945579,Ventilation,True
abnormal widening,C0332464,Widening,True
abnormalities,C0000769,abnormalities,True
abnormality,C1704258,Abnormality,True
abnormally,C1299352,Abnormally low (qualifier value),True
abnormally sclerotic,C0036429,Sclerotic,True
abnormally widened,C0332464,widened,True
about half,C2825407,Half,True
above,C1282910,Above,True
above and below,C0542339,Below,True
above appropriate positioning,C0733755,Positioning,True
above carina,C0225594,Carina,True
above findings,C2607943,findings,True
above level underlying consolidation,C0521530,Consolidation,True
above the clavicles,C0008913,Clavicles,True
above the diaphragm,C0011980,Diaphragm,True
above the expected junction,C0205144,Junction,True
above the ge junction,C0205144,Junction,True
above the junction,C0205144,Junction,True
above the thoracic inlet,C0230137,Thoracic inlet,True
abpa,C0004031,ABPA,True
abrupt,C5201090,Abrupt,True
abrupt angulation,C0333179,angulation,True
abrupt curve,C0205134,Curve,True
abrupt cut off,C1518543,Off,True
abrupt cutoff,C1442160,Cutoff,True
abrupt termination,C1549081,Termination,True
abrupt transition,C2700061,Transition,True
abrupt turn,C0541749,turn,True
abrupt widening,C0332464,Widening,True
abscence,C0235956,abscence,True
abscess,C0000833,Abscess,True
abscess cavity,C0333372,Abscess cavity,True
abscess formation,C4014106,Abscess formation,True
abscesses,C0000833,Abscesses,True
absence,C1689985,Absence,True
absent,C5237010,Absent,True
absent function,C0598463,FUNCTION,True
absorption,C2347023,Absorption,True
abundant,C2346714,Abundant,True
abundant adipose tissue,C0001527,Adipose Tissue,True
abundant fluid,C0444611,Fluid,True
abundant pacemaker,C0030163,pacemaker,True
ac,C2000891,AC,True
ac joint,C0022417,Joint,True
ac joints,C0392905,Joints,True
accelerated,C0521110,Accelerated,True
acceleration,C0521110,Acceleration,True
accentuate,C1997416,Accentuated,True
accentuated,C1997416,Accentuated,True
accentuated kyphosis,C1970121,Accentuated kyphosis,True
accentuation,C2072523,accentuation,True
acceptable,C3539083,Acceptable,True
acceptable in position,C0733755,Position,True
acceptable position,C0733755,Position,True
acceptable positioning,C0733755,Positioning,True
access,C0444454,Access,True
access catheter,C0085590,Catheter,True
access catheters,C0085590,Catheters,True
access device,C0699733,Device,True
access line,C0205132,Line,True
access lines,C1548328,Lines,True
accessed,C0444454,accessed,True
accessory,C2963249,Accessory,True
accessory vessel,C0042591,Vessel,True
accident,C2046386,accident,True
accidental intubation,C0021925,Intubation,True
according,C0680240,according,True
accumulating effusion,C0013687,Effusion,True
accumulating fluid,C0444611,Fluid,True
accumulating under pressure,C0460139,pressure,True
accumulation,C4055506,Accumulation,True
accumulation of air,C1866503,AIR,True
accumulations,C4042934,Mutation Accumulation,True
accurate air collection,C0600644,Collection,True
accurate measurement,C0242485,Measurement,True
accurately assess,C1516048,Assess,True
accurately measured,C0444706,Measured,True
acdf,C4552416,ACDF,True
achalasia,C0014848,Achalasia,True
acid syndrome,C0039082,Syndrome,True
acinar,C0332207,Acinar,True
acinar - sized,C0332207,Acinar,True
acinar nodularity,C0449579,Nodularity,True
acinar opacification,C0449584,Opacification,True
acquisitions,C1706701,Acquisition (action),True
acromio - clavicular,C0008913,Clavicular,True
acromioclavicular,C0695640,acromioclavicular,True
acromioclavicular joint,C0001208,Acromioclavicular Joint,True
acromiohumeral distance,C0012751,Distance,True
acromiohumeral space,C1883067,Space,True
acromion,C0001209,Acromion,True
actinomycosis,C0001261,Actinomycosis,True
active,C0679217,Active,True
active adenopathy,C0497156,Adenopathy,True
active bleeding,C0019080,Bleeding,True
active bronchitis,C0006277,Bronchitis,True
active component,C0449432,Component,True
active concern,C2699424,Concern,True
active disease,C0012634,Disease,True
active effusion,C0013687,Effusion,True
active extravasation,C0015376,Extravasation,True
active flare,C3540542,Flare,True
active infection,C0009450,Infection,True
active infections,C3714514,Infections,True
active inflammation,C0333361,Active inflammation,True
active inflammatory change,C0392747,Change,True
active lesion,C0221198,Lesion,True
active malignancy,C0006826,Malignancy,True
active pathology,C0677042,pathology,True
active pneumonia,C0032285,Pneumonia,True
active problems,C1546466,Problems,True
active process,C4521054,Process,True
active significance,C0237881,Significance,True
active suppuration,C0038862,Suppuration,True
active suppurative bronchiectasis,C0006267,Bronchiectasis,True
active tb,C0041296,TB,True
active tuberculosis,C0151332,Active Tuberculosis,True
active tuberculosis infection,C1609538,Tuberculosis Infection,True
active tuberculous,C0041296,Tuberculous,True
actual chronicity,C0547045,Chronicity,True
acuity,C0750509,acuity,True
acute,C0205178,Acute,True
acute - appearing,C0205178,acute,True
acute - on - chronic,C0439588,Acute-on-chronic,True
acute - on - chronic process,C4521054,Process,True
acute abnormalities,C0000769,abnormalities,True
acute abnormality,C1704258,Abnormality,True
acute active,C0679217,Active,True
acute amiodarone administration,C0001554,Administration,True
acute angle,C0205143,Angle,True
acute aortic,C0003483,Aortic,True
acute appearing,C0205178,acute,True
acute aspiration,C2712334,Aspiration,True
acute aspiration event,C0441471,Event,True
acute asthma exacerbation,C0349790,acute asthma exacerbation,True
acute atelectasis,C1290342,Acute atelectasis,True
acute bony,C0443157,Bony,True
acute bronchiectasis,C0006267,Bronchiectasis,True
acute bronchitis,C0149514,Acute Bronchitis,True
acute cardiac,C0018787,Cardiac,True
acute cardiopulmoanry process,C4521054,Process,True
acute cardiopulmonary,C4072686,Cardiopulmonary,True
acute cardiopulmonary abnormality,C1704258,Abnormality,True
acute cardiopulmonary process,C4521054,Process,True
acute cause,C1524003,Cause,True
acute chance,C0237506,Chance,True
acute change,C0392747,Change,True
acute changed,C0443172,Changed,True
acute changes,C0392747,changes,True
acute chest syndrome,C0742343,Acute chest syndrome,True
acute chf,C0018802,CHF,True
acute complaints,C5441521,complaints,True
acute complication,C0009566,Complication,True
acute complications,C0009566,Complications,True
acute component,C0449432,Component,True
acute condition,C0012634,Condition,True
acute consolidation,C0521530,Consolidation,True
acute cough,C0742857,Acute cough,True
acute decompensation,C0231187,Decompensation,True
acute deformity,C0302142,Deformity,True
acute development,C0243107,development,True
acute diffuse,C0332200,acute diffuse,True
acute disease,C0001314,Acute disease,True
acute dissection,C0333288,Dissection,True
acute distention,C0012359,Distention,True
acute drug reaction,C0041755,Drug reaction,True
acute drug toxicity,C0013221,Drug Toxicity,True
acute edema,C0333240,Acute edema,True
acute effusion,C0013687,Effusion,True
acute eosinophilic pneumonia,C0242459,Acute eosinophilic pneumonia,True
acute episode,C0332189,Episode,True
acute exacerbation,C0743630,acute exacerbation,True
acute exacerbation of ild,C0206062,ILD,True
acute failure,C0231176,Acute failure,True
acute finding,C0037088,Finding,True
acute findings,C2607943,findings,True
acute fluid accumulation,C4055506,Accumulation,True
acute focal abnormality,C1704258,Abnormality,True
acute focal pneumonia,C0032285,Pneumonia,True
acute fracture,C0016658,Fracture,True
acute fractures,C0016658,FRACTURES,True
acute hemorrhage,C0333276,Acute hemorrhage,True
acute hyperinflation,C0020449,Hyperinflation,True
acute increase,C0442805,Increase,True
acute infection,C0275518,Acute infection,True
acute infectious,C0009450,Infectious,True
acute infectious component,C0449432,Component,True
acute infectious pneumonia,C4023112,Acute infectious pneumonia,True
acute infectious process,C4697762,acute infectious process,True
acute infiltrate,C0332448,Infiltrate,True
acute infiltrates,C0332448,infiltrates,True
acute inflammation,C0333361,Acute inflammation,True
acute inflammatory,C0333348,Inflammatory,True
acute inflammatory process,C4521054,Process,True
acute injuries,C3263723,Injuries,True
acute injury,C3263722,Injury,True
acute interval,C1272706,Interval,True
acute interval change,C2041208,interval change,True
acute interval changes,C0392747,changes,True
acute intrathoracic,C0595836,Intrathoracic,True
acute intrathoracic process,C4521054,Process,True
acute involvement,C1314939,Involvement,True
acute kyphosis,C0022821,Kyphosis,True
acute kyphotic angulation,C0333179,angulation,True
acute mitral regurgitation,C1298807,Acute mitral regurgitation,True
acute neurogenic edema,C0013604,Edema,True
acute on chronic borderline,C0205189,Borderline,True
acute on chronic chf,C0018802,CHF,True
acute pathology,C0677042,pathology,True
acute pneumonia,C0740766,Acute Pneumonia,True
acute pneumonic infiltrate,C0332448,Infiltrate,True
acute procedure,C0184661,Procedure,True
acute process,C4521054,Process,True
acute pseudomonas pneumonia,C0032285,Pneumonia,True
acute radiation pneumonia,C0206063,Radiation Pneumonia,True
acute radiographic abnormalities,C5830415,Radiographic abnormalities,True
acute radiographic process,C4521054,Process,True
acute rupture,C3203359,Rupture,True
acute sequela,C0543419,Sequela,True
acute superimposed,C0205178,acute,True
acute superimposed areas,C0205146,areas,True
acute superimposed disease,C0012634,Disease,True
acute superimposed process,C4521054,Process,True
acute symptoms,C1457887,Symptoms,True
acute tb,C0041296,TB,True
acute trauma,C3263723,Trauma,True
acute traumatic findings,C2607943,findings,True
acute traumatic injuries,C3263723,Injuries,True
acute traumatic injury,C3263722,Injury,True
acute tuberculosis,C0275959,Acute tuberculosis,True
acute vasculitis,C0042384,Vasculitis,True
acute viral,C0521026,Viral,True
acute worsening,C0332271,Worsening,True
acutely changed,C0443172,Changed,True
acutely collecting,C0424290,Collecting,True
acutely curved,C0205134,Curved,True
acutely distended,C0700124,Distended,True
acutely unchanged,C0442739,Unchanged,True
added,C1524062,Added,True
added density,C0178587,Density,True
additional,C1524062,Additional,True
additional air tracking,C0546881,Tracking,True
additional catheter,C0085590,Catheter,True
additional change,C0392747,Change,True
additional component,C0449432,Component,True
additional consolidation,C0521530,Consolidation,True
additional contour,C0876954,Contour,True
additional enteric tube,C0175730,Tube,True
additional fiducial marker,C2826325,Fiducial Marker,True
additional findings,C2607943,findings,True
additional infection,C0009450,Infection,True
additional lines,C1548328,Lines,True
additional one,C5201140,One,True
additional opacities,C0029053,opacities,True
additional relevant findings,C2607943,findings,True
additional site,C1515974,Site,True
additional surgery,C1457907,surgery,True
additional thickening,C0205400,Thickening,True
additional tube,C0175730,Tube,True
additional wire,C0005978,Wire,True
adenitis,C0024205,Adenitis,True
adenocarcinoma,C5551397,Adenocarcinoma,True
adenoma,C0001430,Adenoma,True
adenopathy,C0497156,Adenopathy,True
adenopathy combine,C0336789,Combine,True
adenopathy nodules,C0028259,nodules,True
adenopathy overload,C0497156,Lymphadenopathy,True
adequate,C0205410,Adequate,True
adequate placement,C1533810,Placement,True
adequate position,C0733755,Position,True
adequate positioning,C0733755,Positioning,True
adequately expanded,C0205229,expanded,True
adequately placed,C1533810,Placed,True
adhesion,C0001511,Adhesion,True
adhesions,C0001511,Adhesions,True
adhesive atelectasis,C0004144,Atelectasis,True
adjacent,C0205117,Adjacent,True
adjacent abnormality,C1704258,Abnormality,True
adjacent adenopathy,C0497156,Adenopathy,True
adjacent aorta,C0003483,Aorta,True
adjacent area,C0017446,Area,True
adjacent areas,C0205146,areas,True
adjacent atalectasis,C0205117,Adjacent,True
adjacent atelectasis,C0004144,Atelectasis,True
adjacent bullae,C0005758,Bullae,True
adjacent compressive atelectasis,C0004144,Atelectasis,True
adjacent consolidation,C0521530,Consolidation,True
adjacent consolidations,C0205117,Adjacent,True
adjacent dependent,C0851827,Dependent,True
adjacent effusions,C0013687,Effusions,True
adjacent fissure,C0332469,Fissure,True
adjacent focus,C0205234,Focus,True
adjacent increased,C5236002,Increased,True
adjacent lesions,C0221198,Lesions,True
adjacent lucency,C0205117,Adjacent,True
adjacent lung,C4037972,Lung,True
adjacent lymph nodes,C0024204,Lymph Nodes,True
adjacent opacification,C0449584,Opacification,True
adjacent opacities,C0029053,opacities,True
adjacent opacity,C1265876,Opacity,True
adjacent paratracheal mediastinum,C0025066,Mediastinum,True
adjacent patchy opacities,C0029053,opacities,True
adjacent pathology,C0677042,pathology,True
adjacent pleura,C0032225,PLEURA,True
adjacent scarring,C2004491,Scarring,True
adjacent small,C0205117,Adjacent,True
adjacent structures,C0678594,structures,True
adjacent to the junction,C0205144,Junction,True
adjacent worsening,C0332271,Worsening,True
adjusted,C0456081,Adjusted,True
adjustment,C0456081,Adjustment,True
admission,C0809949,Admission,True
adrenal,C0001625,Adrenal,True
advance,C0725066,Advance,True
advanced,C0205179,Advanced,True
advanced couple of centimeters,C0475210,centimeters,True
advanced far into the tube,C0175730,Tube,True
advancement,C0441478,Advancement,True
advancing tube,C0175730,Tube,True
adynamic ileus,C0030446,Adynamic ileus,True
adynamic ileus pattern,C0449774,Pattern,True
aerated bronchi,C0006255,Bronchi,True
aerated lobes,C0796494,lobes,True
aerated lung,C4037972,Lung,True
aerated portion,C0449719,Portion,True
aerated upper lung,C4037972,Lung,True
aerated viscus,C0042779,Viscus,True
aeration,C2215609,aeration,True
aeration aeration,C2215609,aeration,True
aerodigestive tract,C1267213,Aerodigestive Tract,True
affect,C0001721,Affect,True
affected,C0392760,Affected,True
affecting,C0392760,Affecting,True
affection,C0871641,Affection,True
affects,C0001721,Affects,True
after,C0231290,After,True
after bypass surgery,C1457907,surgery,True
after catheter placement,C1533810,Placement,True
after decortication,C2678502,Decortication,True
after minimally invasive esophagectomy,C0085198,Esophagectomy,True
after pigtail placement,C1533810,Placement,True
after pleurodesis,C0189557,Pleurodesis,True
after pleurx catheter,C0085590,Catheter,True
after pleurx placement,C1533810,Placement,True
after sternotomy,C0185792,Sternotomy,True
after surgery,C0241311,After Surgery,True
against,C0521124,Against,True
age,C0162574,AGE,True
age - indeterminate,C0205258,Indeterminate,True
age - indeterminate %,C0205258,Indeterminate,True
age - indeterminate height,C0489786,Height,True
age - related,C0445223,Related,True
age - related changes,C0392747,changes,True
age indeterminant,C0001779,Age,True
age indeterminate,C0205258,Indeterminate,True
age is uncertain,C0087130,Uncertain,True
age related,C0445223,Related,True
age related changes,C0392747,changes,True
ages,C0162574,AGEs,True
aggressive,C0580822,Aggressive,True
aggressive chest therapy,C1363945,Therapy,True
aggressive infection,C0009450,Infection,True
aggressive infectious process,C0745283,Infectious process,True
aggressive lesion,C0221198,Lesion,True
aggressive malignancy,C0006826,Malignancy,True
agressive infection,C0009450,Infection,True
ague,C0085593,ague,True
aicd,C0972395,aicd,True
aicd / pacemaker,C0030163,pacemaker,True
aicd and lead,C0023175,Lead,True
aicd device,C0699733,Device,True
aicd generator,C0237638,Generator,True
aicd lead,C0023175,Lead,True
aicd leads,C0181586,Leads,True
aicd placement,C1533810,Placement,True
aicd subclavian,C0589488,Subclavian,True
aicd type device,C0699733,Device,True
aip,C0162565,AIP,True
air,C1866503,AIR,True
air - bronchograms,C0006282,bronchograms,True
air - containing,C0332256,Containing,True
air - containing structure,C0678594,Structure,True
air - containing structures,C0678594,structures,True
air - distended,C0700124,Distended,True
air - filled,C1708059,Filled,True
air - filled distension,C3714614,Distension,True
air - filled spaces,C0001861,Air (substance),True
air - filled structure,C0678594,Structure,True
air - filled tracks,C0040594,Tracks,True
air - fluid,C0444611,Fluid,True
air - fluid collection,C0600644,Collection,True
air - fluid interface,C1708533,Interface,True
air - fluid level,C0740844,air fluid level,True
air - fluid level distally,C0001861,Air (substance),True
air - fluid levels,C0740844,air fluid levels,True
air - fluid loculations,C0001861,Air (substance),True
air - leak,C0332234,Leak,True
air - space,C1883067,Space,True
air - trapping,C0231819,Air trapping,True
air / fluid collection,C0600644,Collection,True
air accumulation,C4055506,Accumulation,True
air accumulations,C0001861,Air (substance),True
air aerated cavities,C1510420,CAVITIES,True
air at all,C1961102,ALL,True
air at apex,C0140145,APEX,True
air based,C1527178,Based,True
air bronchogram,C3669021,Air bronchogram,True
air bronchograms,C0006282,bronchograms,True
air bronchograms for lll collapse,C0344329,Collapse,True
air bubble,C0001863,Air bubble,True
air bubbles,C0001863,air bubbles,True
air cavity,C1510420,Cavity,True
air collecting,C0424290,Collecting,True
air collection,C0600644,Collection,True
air colon,C0009368,Colon,True
air column,C1185738,Column,True
air component,C0449432,Component,True
air content,C0423896,Content,True
air day,C0439505,/day,True
air deep,C0205125,Deep,True
air dissecting,C0205239,Dissecting,True
air distended,C0700124,Distended,True
air filled,C1708059,Filled,True
air filled structure,C0678594,Structure,True
air fluid,C0444611,Fluid,True
air fluid collection,C0600644,Collection,True
air fluid level,C0740844,air fluid level,True
air fluid levels,C0740844,air fluid levels,True
air higher,C0205250,Higher,True
air highlighting,C0001861,Air (substance),True
air inclusion,C2700399,Inclusion,True
air inclusions,C0007637,Inclusions,True
air inferior,C0542339,Inferior,True
air introduced,C0001861,Air (substance),True
air kyphosis,C0022821,Kyphosis,True
air layering,C0934502,layering,True
air leak,C0332234,Leak,True
air leakage,C0333257,Air leakage,True
air less,C0547044,Less,True
air lucency,C0001861,Air (substance),True
air ocollection,C0001861,Air (substance),True
air opacification,C0449584,Opacification,True
air opacities,C0029053,opacities,True
air paralleling,C0001861,Air (substance),True
air pneumothorax,C0032326,Pneumothorax,True
air sits,C0728713,Sits,True
air space,C1883067,Space,True
air surrounding,C1282914,Surrounding,True
air these,C0039828,these,True
air thickening,C0205400,Thickening,True
air tracking,C0546881,Tracking,True
air trapping,C0231819,Air trapping,True
air under pressure,C0460139,pressure,True
air verses,C0001861,Air (substance),True
air volume,C1705102,Volume,True
air wall,C0677535,Wall,True
airless lower lobes,C0796494,lobes,True
airless prone,C0033422,Prone,True
airspace opacities,C0029053,opacities,True
airspace process,C4521054,Process,True
airway,C0458827,Airway,True
airway - centric,C0178987,Artificial Airways,True
airway abnormalities,C4012443,Airway abnormalities,True
airway changes,C0392747,changes,True
airway disease,C0699949,airway disease,True
airway distortions,C0332482,distortions,True
airway infection,C0009450,Infection,True
airway inflammation,C0021368,Inflammation,True
airway lumens,C0524461,lumens,True
airway tube,C0175730,Tube,True
airways,C0458827,Airways,True
airways disease,C0699949,AIRWAYS DISEASE,True
airways infection,C0009450,Infection,True
al - defined,C3539106,Defined,True
align,C2369992,Align,True
aligned,C1706765,Aligned,True
aligned paralleling,C1706765,Alignment,True
aligned perpendicular,C1295725,Perpendicular,True
aligned reflect,C0558058,reflect,True
alignment,C1706765,Alignment,True
alignment and position of clips,C0175722,Clips,True
all,C3539085,All,True
all after line,C0205132,Line,True
all appropriate,C1548787,Appropriate,True
all areas,C0205146,areas,True
all chambers,C0179874,Chambers,True
all changes,C0392747,changes,True
all in all esophageal probe,C0182400,Probe,True
all lines,C1548328,Lines,True
all lobes,C0796494,lobes,True
all locations,C0450429,locations,True
all lymph node,C0746922,Node,True
all of the relative increase,C0442805,Increase,True
all sections,C0007876,Cesarean section,True
all side ports,C0475311,ports,True
all upper airway,C0458827,Airway,True
all visible elements,C0013879,Elements,True
all visualized bones,C0262950,Bones,True
allergic,C0700624,Allergic,True
allergic drug reaction,C0013182,Allergic drug reaction,True
allocated to low,C5203106,Low,True
almost,C3828842,Almost,True
almost complete,C1706059,Complete,True
almost complete resolution,C1514893,Resolution,True
almost completely clear,C5966217,Clear,True
almost completely cleared,C0521097,cleared,True
almost completely filled,C1708059,Filled,True
almost completely resolved,C5419890,Completely Resolved,True
almost confluent,C0205200,Confluent,True
almost entirely replacing air,C1866503,AIR,True
almost entirely resolved,C1514893,Resolved,True
almost impossible to assess,C1516048,Assess,True
almost nodular quality,C0332306,Quality,True
almost resolved,C1514893,Resolved,True
almost severe,C3828842,Almost,True
alone,C0439044,alone,True
alone volume,C1705102,Volume,True
along both chest walls,C0677535,Walls,True
along its course,C0750729,Course,True
along its entire course,C0750729,Course,True
along one rib,C0035561,Rib,True
along side,C0441987,Side,True
along the spine,C0037949,Spine,True
along the track,C0040594,Track,True
alpha - 1 antitrypsin deficiency,C0221757,Alpha-1-antitrypsin deficiency,True
alpha 1 antitrypsin deficiency,C0221757,Alpha-1-antitrypsin deficiency,True
alpha 1 trypsin deficiency,C0162429,Deficiency,True
alpha one antitrypsin deficiency,C0162429,Deficiency,True
alternate,C1523987,Alternate,True
alternating,C0332270,Alternating,True
alternative,C1523987,Alternative,True
alternative diagnosis,C1704338,diagnosis,True
alternative etiology,C1524003,Etiology,True
alternatively soft tissue,C0225317,Soft tissue,True
alternatively vasculitis,C0042384,Vasculitis,True
althoug it,C0677897,IT,True
although side port,C0452253,Port,True
alveolar,C1440080,Alveolar,True
alveolar component,C0449432,Component,True
alveolar damage,C4313322,Alveolar damage,True
alveolar edema,C2939069,Alveolar edema,True
alveolar hemorrhage,C5975257,Alveolar hemorrhage,True
alveolar lower lobe,C0796494,lobe,True
alveolar opacities,C0029053,opacities,True
alveolar process,C0002386,Alveolar process,True
alveoli,C1515933,Alveoli,True
alveolitis,C0549493,Alveolitis,True
amalgam,C0011324,Amalgam,True
ambiguous,C3539086,Ambiguous,True
amiodarone,C0002598,Amiodarone,True
amiodarone - induced,C0205263,Induced,True
amiodarone - related,C0445223,Related,True
amiodarone toxicity,C0600688,Toxicity,True
aml,C0023467,AML,True
amniotic fluid emboli,C1704212,Emboli,True
amniotic fluid embolism,C0013927,Amniotic fluid embolism,True
amniotic fluid embolus,C0013927,Amniotic fluid embolus,True
amorphous structure,C0678594,Structure,True
amount,C1265611,Amount,True
amount of,C1265611,Amount,True
amount of air,C1866503,AIR,True
ample fat deposition,C0333562,Deposition,True
amputated,C0231447,amputated,True
amyloid disease,C0002726,Amyloid disease,True
an,C1847492,AN,True
an endotracheal tube,C0175730,Tube,True
an enteric tube,C0175730,Tube,True
an exception,C1705847,Exception,True
an icd device,C0699733,Device,True
an ill - defined,C3539106,Defined,True
analysis,C0002778,Analysis,True
anasarca,C0151603,Anasarca,True
anastomosis,C0677554,Anastomosis,True
anastomotic,C0677554,Anastomotic,True
anastomotic dehiscence,C0149663,Dehiscence,True
anatomic,C0220784,Anatomic,True
anatomic detail,C1522508,Detail,True
anatomic distortion,C0332482,Distortion,True
anatomic location,C1515974,Anatomic Location,True
anatomic region,C0005898,Anatomic region,True
anatomic variant,C1254472,Anatomic Variant,True
anatomical changes,C0392747,changes,True
anatomical normal variant,C0205419,Variant,True
anatomical variant,C0205419,Variant,True
anatomically normal variant,C0205419,Variant,True
anatomically variant,C0205419,Variant,True
anatomy,C0002808,Anatomy,True
anchor,C5553006,ANCHOR,True
anchor screw,C1704683,Screw,True
anchor sutures,C0038969,Sutures,True
anchors,C1293132,anchors,True
and,C1706368,And,True
anemia,C0002871,Anemia,True
aneurysm,C0002940,Aneurysm,True
aneurysm formation,C0439634,formation,True
aneurysm i tip,C1705504,TIP,True
aneurysm i tip dissection,C0333288,Dissection,True
aneurysm obscures,C0002940,Aneurysm,True
aneurysm repair,C0189661,aneurysm repair,True
aneurysmal,C0439651,Aneurysmal,True
aneurysmal calcification,C0006663,Calcification,True
aneurysmal dilatation,C0002940,Aneurysmal dilatation,True
aneurysmal dilation,C0700124,Dilation,True
aneurysmal dissection,C0333288,Dissection,True
